ident_serie;ponderation
RF0610;162.79632249
RF0620;1.9377890455
RF0811;184.37671085
RF0812;1297.1340412
RF0893;50.663094096
RF0899;58.333105567
RF1011;3783.7167422
RF1012;1579.8244989
RF1013;2607.2764615
RF1020;945.18268841
RF1031;92.498141602
RF1032;126.09102819
RF1039;1302.9049847
RF1041;696.72099608
RF1042;23.853157182
RF1051;5295.4417547
RF1052;201.84811035
RF1061;929.67216542
RF1062;674.67086709
RF1071;3819.3078348
RF1072;1486.9883898
RF1073;509.15191228
RF1081;660.11222943
RF1082;1207.8476369
RF1083;479.73606138
RF1085;1528.5486095
RF1086;554.45690125
RF1089;1677.5132285
RF1091;1005.433954
RF1092;338.88380647
RF1101;1232.941739
RF1102;1380.2879186
RF1105;651.09081039
RF1106;124.66566311
RF1107;2052.655592
RF1200;236.49219367
RF1310;170.32097704
RF1320;365.50035317
RF1330;78.501186242
RF1391;56.474653816
RF1392;510.09969553
RF1393;110.3393467
RF1395;172.10347711
RF1396;418.75596375
RF1399;124.79419192
RF1412;76.5920714
RF1413;699.6293873
RF1414;362.9346583
RF1419;244.21540469
RF1431;134.50104501
RF1439;92.943910853
RF1511;194.59823451
RF1512;1160.2476513
RF1520;251.30035084
RF1621;480.37375875
RF1623;752.4057249
RF1624;623.92439239
RF1629;176.46413995
RF1711;137.17074806
RF1712;1254.3358508
RF1721;1942.086259
RF1722;599.73762894
RF1723;258.42316771
RF1724;9.5945337868
RF1729;449.79312595
RF1812;2863.691843
RF1813;701.4806921
RF1920;2723.5185009
RF2011;302.20720535
RF2012;209.87012847
RF2013;674.91853822
RF2014;3277.0038157
RF2015;536.06407148
RF2016;2473.8680947
RF2017;233.56418555
RF2020;1006.3585964
RF2030;1185.2508778
RF2041;710.97734938
RF2042;4408.5599613
RF2051;184.47934777
RF2052;237.88423378
RF2053;543.64887921
RF2059;1906.5507418
RF2060;52.353757023
RF2110;1248.6241086
RF2120;11208.467587
RF2211;1168.1970779
RF2219;2085.0858496
RF2221;1821.8045619
RF2222;2623.562266
RF2223;1594.3009282
RF2229;2111.625001
RF2311;189.27798139
RF2312;573.98268212
RF2313;973.6811714
RF2314;263.70893552
RF2319;150.67830148
RF2320;131.10121147
RF2331;53.646665647
RF2332;263.8391271
RF2341;115.10541968
RF2342;35.034147332
RF2351;601.40184703
RF2361;835.80068905
RF2362;224.95724095
RF2363;1427.7070231
RF2391;45.550053339
RF2399;978.51960535
RF2410;1880.9365215
RF2420;329.52564221
RF2431;63.732754568
RF2432;75.324366947
RF2433;195.99952701
RF2434;81.197971261
RF2442;683.53622781
RF2443;113.0726759
RF2444;253.39861806
RF2445;191.46792512
RF2451;521.78504115
RF2452;270.87175574
RF2453;483.6545063
RF2454;156.81799201
RF2511;2623.1180248
RF2512;1217.3646231
RF2521;275.26363908
RF2529;164.7749393
RF2530;282.38523954
RF2540;1152.2952766
RF2550;3164.9396308
RF2561;1406.9548099
RF2562;4698.1346674
RF2571;70.065610985
RF2572;360.91656212
RF2573;827.90264932
RF2591;76.844910378
RF2592;663.99394512
RF2593;808.13857839
RF2594;515.78796128
RF2599;1351.2237215
RF2611;2089.6621412
RF2612;1600.6969288
RF2620;598.83518779
RF2630;1993.9775866
RF2640;168.82442315
RF2651;4357.2868102
RF2652;85.460279504
RF2660;360.4556017
RF2670;681.47860949
RF2711;1045.9739182
RF2712;1599.308313
RF2720;279.66147134
RF2731;173.64816266
RF2732;713.62103482
RF2733;577.39840996
RF2740;788.58325222
RF2751;648.36895225
RF2752;134.19150121
RF2790;905.35994952
RF2811;1190.0829084
RF2812;505.22280298
RF2813;895.56927717
RF2814;868.8700222
RF2815;741.82563417
RF2821;285.94679617
RF2822;1435.9404398
RF2823;92.951009906
RF2825;1225.3227909
RF2829;1107.3250844
RF2830;1145.8647405
RF2841;369.24638629
RF2891;42.341933851
RF2892;534.94611571
RF2893;652.62071529
RF2894;184.30752384
RF2895;162.44108216
RF2896;159.85302732
RF2899;704.98216736
RF2910;6029.0680674
RF2920;662.40106495
RF2931;674.66462672
RF2932;5328.8108752
RF3011;1501.6397274
RF3012;416.88081974
RF3020;1020.927927
RF3030;12380.160762
RF3091;126.07885237
RF3092;154.70674178
RF3101;831.83412072
RF3102;376.99672036
RF3103;356.54410172
RF3109;833.01294378
RF3212;601.86686766
RF3250;3065.7675318
RF3299;557.6932729
RF3311;2383.1884988
RF3312;5152.7891061
RF3313;1816.5601875
RF3314;1421.5619541
RF3315;1123.0169388
RF3316;3277.3313071
RF3320;7196.2678428
RF3511;13325.132161
RF3512;1867.4672177
RF3513;6610.9063602
RF3514;8485.5699119
RF3522;1168.8450557
RF3523;4248.6006852
RF3600;3386.9432462
RFF010;87774.30
RFF020;20571.25
